Name,Release_Date,Publisher,Platform,Press_Score,Number_Scores_Press,Users_Score,Number_Scores_Users,Month,Year,Scores_delta,Score_Avg
XDefiant,2024-05-21,Ubisoft,Pc,6.7,17,4.7,158.0,5,2024,-2.0,5.7
XDefiant,2024-05-21,Ubisoft,Xbox Series X,7.2,9,6.2,20.0,5,2024,-1.0,6.7
Tom Clancy's Rainbow Six Rogue Spear: Black Thorn,2001-10-31,Ubisoft,Pc,6.7,9,5.0,9.0,10,2001,-1.7000000000000002,5.85
Prince of Persia: Epilogue,2009-03-05,Ubisoft,Playstation 3,6.8,5,5.1,9.0,3,2009,-1.7000000000000002,5.949999999999999
Teenage Mutant Ninja Turtles: Smash-Up,2009-09-22,Ubisoft,Wii,6.7,34,7.5,10.0,9,2009,0.7999999999999998,7.1
Teenage Mutant Ninja Turtles: Smash-Up,2009-09-22,Ubisoft,Playstation 2,7.2,1,7.4,2.0,9,2009,0.20000000000000018,7.300000000000001
Faces of War,2006-09-12,Ubisoft,Pc,6.7,21,8.4,2.0,9,2006,1.7000000000000002,7.550000000000001
Heroes of Might and Magic V: Hammers of Fate,2006-11-14,Ubisoft,Pc,6.6,10,8.4,8.0,11,2006,1.8000000000000007,7.5
Blazing Angels: Squadrons of WWII,2006-03-23,Ubisoft,Xbox 360,6.6,58,7.1,2.0,3,2006,0.5,6.85
Blazing Angels: Squadrons of WWII,2006-03-23,Ubisoft,Pc,6.5,16,3.3,2.0,3,2006,-3.2,4.9
Blazing Angels: Squadrons of WWII,2006-03-23,Ubisoft,Wii,5.7,11,6.7,1.0,3,2006,1.0,6.2
Blazing Angels: Squadrons of WWII,2006-03-23,Ubisoft,Playstation 3,6.7,26,6.4,3.0,3,2006,-0.2999999999999998,6.550000000000001
The Settlers: Rise of an Empire,2007-09-25,Ubisoft,Pc,6.6,19,7.3,6.0,9,2007,0.7000000000000002,6.949999999999999
Teenage Mutant Ninja Turtles: The Arcade Game,2007-03-14,Ubisoft,Xbox 360,6.6,17,7.0,4.0,3,2007,0.40000000000000036,6.8
Might & Magic: Heroes VI - Shades of Darkness,2013-05-02,Ubisoft,Pc,6.6,15,5.4,29.0,5,2013,-1.1999999999999993,6.0
The Black Eyed Peas Experience,2011-11-08,Ubisoft,Xbox 360,6.6,17,6.6,4.0,11,2011,0.0,6.6
Lara Croft - Tomb Raider: The Prophecy,2002-11-12,Ubisoft,Game Boy Advance,6.6,20,7.4,2.0,11,2002,0.8000000000000007,7.0
Immortals Fenyx Rising: Myths of the Eastern Realm,2021-03-25,Ubisoft,Nintendo Switch,7.0,1,9.0,1.0,3,2021,2.0,8.0
Immortals Fenyx Rising: Myths of the Eastern Realm,2021-03-25,Ubisoft,Playstation 5,7.0,3,6.0,3.0,3,2021,-1.0,6.5
Immortals Fenyx Rising: Myths of the Eastern Realm,2021-03-25,Ubisoft,Pc,6.5,14,5.6,6.0,3,2021,-0.9000000000000004,6.05
Stupid Invaders,2001-02-21,Ubisoft,Pc,6.5,23,7.6,1.0,2,2001,1.0999999999999996,7.05
Stupid Invaders,2001-02-21,Ubisoft,Dreamcast,6.4,6,6.2,9.0,2,2001,-0.20000000000000018,6.300000000000001
CSI: Crime Scene Investigation: Dark Motives,2004-03-23,Ubisoft,Pc,6.5,28,7.6,9.0,3,2004,1.0999999999999996,7.05
Rocky: Legends,2004-09-28,Ubisoft,Playstation 2,6.5,24,8.0,9.0,9,2004,1.5,7.25
Heroes of Might & Magic III - HD Edition,2015-01-29,Ubisoft,Pc,6.5,30,5.4,42.0,1,2015,-1.0999999999999996,5.95
Heroes of Might & Magic III - HD Edition,2015-01-29,Ubisoft,Ios Iphoneipad,7.3,5,6.7,10.0,1,2015,-0.5999999999999996,7.0
Atomega,2017-09-19,Ubisoft,Pc,6.5,15,7.0,1.0,9,2017,0.5,6.75
Might & Magic: Chess Royale,2020-01-30,Ubisoft,Ios Iphoneipad,8.0,1,2.2,3.0,1,2020,-5.8,5.1
Might & Magic: Chess Royale,2020-01-30,Ubisoft,Pc,6.5,9,3.3,18.0,1,2020,-3.2,4.9
Brothers in Arms: D-Day,2006-12-05,Ubisoft,Psp,6.5,19,3.1,2.0,12,2006,-3.4,4.8
Battleship (2016),2016-08-02,Ubisoft,Xbox One,6.5,11,6.6,2.0,8,2016,0.09999999999999964,6.55
Battleship (2016),2016-08-02,Ubisoft,Playstation 4,7.0,2,6.3,1.0,8,2016,-0.7000000000000002,6.65
Battles of Prince of Persia,2005-12-06,Ubisoft,Ds,6.4,16,6.3,2.0,12,2005,-0.10000000000000053,6.35
The Crew 2,2018-06-26,Ubisoft,Playstation 4,6.4,57,5.8,166.0,6,2018,-0.6000000000000005,6.1
